rok;ms;dz;godz;fco2_MQ;fco2_HQ;fco2_raw;glwody;T50cm;T2m;Kd;Ku;Ld;Lu;ppp;v;vdir;Tgrunt;vwc;PARd;PARu
2013;1;6;1.5;-0.08;;-0.08;5.5;-2.3;-2.5;0.0;0.4;290.3;311.0;1007.3;3.1;318.7;0.6;0.784;0.0;0.0
2013;1;6;2.5;;;-0.05;5.5;-2.7;-2.8;0.0;0.6;278.0;309.9;1007.2;3.2;305.2;0.7;0.784;0.0;0.0
2013;1;6;3.5;0.02;;0.02;5.3;-3.0;-3.1;0.0;0.8;268.7;308.8;1006.9;3.4;294.6;0.7;0.784;0.0;0.0
2013;1;6;4.5;;;0.05;5.2;-3.0;-3.1;0.0;0.5;285.0;309.4;1006.5;3.7;301.9;0.7;0.784;0.0;0.0
2013;1;6;5.5;0.11;;0.11;5.8;-2.6;-2.7;0.0;0.5;295.6;310.6;1005.7;2.0;296.7;0.7;0.784;0.0;0.0
2013;1;6;6.5;0.0;;0.0;5.4;-2.3;-2.4;0.0;0.6;293.5;311.1;1005.2;1.6;259.1;0.7;0.784;0.0;0.0
2013;1;6;7.5;0.11;;0.11;5.2;-1.8;-1.9;0.4;0.6;300.8;312.3;1004.7;1.9;284.6;0.7;0.783;0.8;0.0
2013;1;6;8.5;0.14;;0.14;5.4;-1.4;-1.5;8.4;1.4;298.4;312.9;1004.2;1.8;291.6;0.7;0.783;18.9;1.2
2013;1;6;9.5;-0.02;;-0.02;5.1;-0.9;-1.2;61.3;8.2;287.1;313.9;1003.8;2.3;317.2;0.7;0.783;123.8;11.8
2013;1;6;10.5;-0.08;;-0.08;5.0;-0.6;-0.9;63.5;7.4;294.8;314.8;1003.5;3.0;343.5;0.7;0.783;128.8;11.1
2013;1;6;11.5;-0.25;;-0.25;5.3;-1.0;-1.1;43.9;4.7;296.2;313.8;1003.1;3.3;348.0;0.7;0.783;91.7;6.5
2013;1;6;12.5;-0.41;;-0.41;5.2;-1.1;-1.2;44.2;4.3;296.0;313.7;1002.8;2.6;4.1;0.7;0.783;91.5;5.9
